"id","function","main_function","GO_id"
"8081","seed coat development","biological_process","GO:0010214"
"8082","cellulose microfibril organization","biological_process","GO:0010215"
"8083","maintenance of DNA methylation","biological_process","GO:0010216"
"8084","cellular aluminum ion homeostasis","biological_process","GO:0010217"
"8085","response to far red light","biological_process","GO:0010218"
"8086","regulation of vernalization response","biological_process","GO:0010219"
"8087","positive regulation of vernalization response","biological_process","GO:0010220"
"8088","negative regulation of vernalization response","biological_process","GO:0010221"
"8089","stem vascular tissue pattern formation","biological_process","GO:0010222"
"8090","secondary shoot formation","biological_process","GO:0010223"
"8091","response to UV-B","biological_process","GO:0010224"
"8092","response to UV-C","biological_process","GO:0010225"
"8093","response to lithium ion","biological_process","GO:0010226"
"8094","floral organ abscission","biological_process","GO:0010227"
"8095","vegetative to reproductive phase transition of meristem","biological_process","GO:0010228"
"8096","inflorescence development","biological_process","GO:0010229"
"8097","alternative respiration","biological_process","GO:0010230"
"8098","maintenance of seed dormancy","biological_process","GO:0010231"
"8099","vascular transport","biological_process","GO:0010232"
"8100","phloem transport","biological_process","GO:0010233"
"8101","tapetal cell fate specification","biological_process","GO:0010234"
"8102","guard mother cell cytokinesis","biological_process","GO:0010235"
"8103","plastoquinone biosynthetic process","biological_process","GO:0010236"
"8104","response to proline","biological_process","GO:0010238"
"8105","chloroplast mRNA processing","biological_process","GO:0010239"
"8106","plastid pyruvate dehydrogenase complex","cellular_component","GO:0010240"
"8107","ent-kaurene oxidase activity","molecular_function","GO:0010241"
"8108","oxygen evolving activity","molecular_function","GO:0010242"
"8109","response to organic nitrogen","biological_process","GO:0010243"
"8110","response to low fluence blue light stimulus by blue low-fluence system","biological_process","GO:0010244"
"8111","radial microtubular system formation","biological_process","GO:0010245"
"8112","rhamnogalacturonan I biosynthetic process","biological_process","GO:0010246"
"8113","detection of phosphate ion","biological_process","GO:0010247"
"8114","establishment or maintenance of transmembrane electrochemical gradient","biological_process","GO:0010248"
"8115","auxin conjugate metabolic process","biological_process","GO:0010249"
"8116","S-methylmethionine biosynthetic process","biological_process","GO:0010250"
"8117","auxin homeostasis","biological_process","GO:0010252"
"8118","UDP-rhamnose biosynthetic process","biological_process","GO:0010253"
"8119","nectary development","biological_process","GO:0010254"
"8120","glucose mediated signaling pathway","biological_process","GO:0010255"
"8121","endomembrane system organization","biological_process","GO:0010256"
"8122","NADH dehydrogenase complex assembly","biological_process","GO:0010257"
"8123","NADH dehydrogenase complex (plastoquinone) assembly","biological_process","GO:0010258"
"8124","multicellular organismal aging","biological_process","GO:0010259"
"8125","organ senescence","biological_process","GO:0010260"
"8126","somatic embryogenesis","biological_process","GO:0010262"
"8127","tricyclic triterpenoid biosynthetic process","biological_process","GO:0010263"
"8128","myo-inositol hexakisphosphate biosynthetic process","biological_process","GO:0010264"
"8129","SCF complex assembly","biological_process","GO:0010265"
"8130","response to vitamin B1","biological_process","GO:0010266"
"8131","production of ta-siRNAs involved in RNA interference","biological_process","GO:0010267"
"8132","brassinosteroid homeostasis","biological_process","GO:0010268"
"8133","response to selenium ion","biological_process","GO:0010269"
"8134","photosystem II oxygen evolving complex assembly","biological_process","GO:0010270"
"8135","regulation of chlorophyll catabolic process","biological_process","GO:0010271"
"8136","response to silver ion","biological_process","GO:0010272"
"8137","detoxification of copper ion","biological_process","GO:0010273"
"8138","hydrotropism","biological_process","GO:0010274"
"8139","NAD(P)H dehydrogenase complex assembly","biological_process","GO:0010275"
"8140","phytol kinase activity","molecular_function","GO:0010276"
"8141","chlorophyllide a oxygenase activity","molecular_function","GO:0010277"
"8142","chloroplast outer membrane translocon","cellular_component","GO:0010278"
"8143","indole-3-acetic acid amido synthetase activity","molecular_function","GO:0010279"
"8144","UDP-L-rhamnose synthase activity","molecular_function","GO:0010280"
"8145","senescence associated vacuole","cellular_component","GO:0010282"
"8146","pinoresinol reductase activity","molecular_function","GO:0010283"
"8147","lariciresinol reductase activity","molecular_function","GO:0010284"
"8148","L,L-diaminopimelate aminotransferase activity","molecular_function","GO:0010285"
"8149","heat acclimation","biological_process","GO:0010286"
"8150","plastoglobule","cellular_component","GO:0010287"
"8151","response to lead ion","biological_process","GO:0010288"
"8152","homogalacturonan biosynthetic process","biological_process","GO:0010289"
"8153","chlorophyll catabolite transmembrane transporter activity","molecular_function","GO:0010290"
"8154","carotene beta-ring hydroxylase activity","molecular_function","GO:0010291"
"8155","GTP:GDP antiporter activity","molecular_function","GO:0010292"
"8156","abscisic aldehyde oxidase activity","molecular_function","GO:0010293"
"8157","abscisic acid glucosyltransferase activity","molecular_function","GO:0010294"
"8158","(+)-abscisic acid 8'-hydroxylase activity","molecular_function","GO:0010295"
"8159","prenylcysteine methylesterase activity","molecular_function","GO:0010296"
"8160","heteroglycan binding","molecular_function","GO:0010297"
"8161","dihydrocamalexic acid decarboxylase activity","molecular_function","GO:0010298"
"8162","detoxification of cobalt ion","biological_process","GO:0010299"
"8163","xanthoxin dehydrogenase activity","molecular_function","GO:0010301"
"8164","2-oxoglutarate-dependent dioxygenase activity","molecular_function","GO:0010302"
"8165","limit dextrinase activity","molecular_function","GO:0010303"
"8166","PSII associated light-harvesting complex II catabolic process","biological_process","GO:0010304"
"8167","leaf vascular tissue pattern formation","biological_process","GO:0010305"
"8168","rhamnogalacturonan II biosynthetic process","biological_process","GO:0010306"
"8169","acetylglutamate kinase regulator activity","molecular_function","GO:0010307"
"8170","acireductone dioxygenase (Ni2+-requiring) activity","molecular_function","GO:0010308"
"8171","acireductone dioxygenase [iron(II)-requiring] activity","molecular_function","GO:0010309"
"8172","regulation of hydrogen peroxide metabolic process","biological_process","GO:0010310"
"8173","lateral root formation","biological_process","GO:0010311"
"8174","detoxification of zinc ion","biological_process","GO:0010312"
"8175","phytochrome binding","molecular_function","GO:0010313"
"8176","phosphatidylinositol-5-phosphate binding","molecular_function","GO:0010314"
"8177","auxin efflux","biological_process","GO:0010315"
"8178","pyrophosphate-dependent phosphofructokinase complex","cellular_component","GO:0010316"
"8179","pyrophosphate-dependent phosphofructokinase complex, alpha-subunit complex","cellular_component","GO:0010317"
"8180","pyrophosphate-dependent phosphofructokinase complex, beta-subunit complex","cellular_component","GO:0010318"
"8181","stromule","cellular_component","GO:0010319"
"8182","arginine/lysine endopeptidase activity","molecular_function","GO:0010320"
"8183","regulation of vegetative phase change","biological_process","GO:0010321"
"8184","regulation of isopentenyl diphosphate biosynthetic process, mevalonate-independent pathway","biological_process","GO:0010322"
"8185","negative regulation of isopentenyl diphosphate biosynthetic process, mevalonate-independent pathway","biological_process","GO:0010323"
"8186","membrane invagination","biological_process","GO:0010324"
"8187","raffinose family oligosaccharide biosynthetic process","biological_process","GO:0010325"
"8188","methionine-oxo-acid transaminase activity","molecular_function","GO:0010326"
"8189","acetyl CoA:(Z)-3-hexen-1-ol acetyltransferase activity","molecular_function","GO:0010327"
"8190","auxin influx transmembrane transporter activity","molecular_function","GO:0010328"
"8191","auxin efflux transmembrane transporter activity","molecular_function","GO:0010329"
"8192","cellulose synthase complex","cellular_component","GO:0010330"
"8193","gibberellin binding","molecular_function","GO:0010331"
"8194","response to gamma radiation","biological_process","GO:0010332"
"8195","terpene synthase activity","molecular_function","GO:0010333"
"8196","sesquiterpene synthase activity","molecular_function","GO:0010334"
"8197","response to non-ionic osmotic stress","biological_process","GO:0010335"
"8198","gibberellic acid homeostasis","biological_process","GO:0010336"
"8199","regulation of salicylic acid metabolic process","biological_process","GO:0010337"
"8200","leaf formation","biological_process","GO:0010338"
"8201","external side of cell wall","cellular_component","GO:0010339"
"8202","carboxyl-O-methyltransferase activity","molecular_function","GO:0010340"
"8203","gibberellin carboxyl-O-methyltransferase activity","molecular_function","GO:0010341"
"8204","cellularization of endosperm","biological_process","GO:0010342"
"8205","singlet oxygen-mediated programmed cell death","biological_process","GO:0010343"
"8206","seed oilbody biogenesis","biological_process","GO:0010344"
"8207","suberin biosynthetic process","biological_process","GO:0010345"
"8208","shoot formation","biological_process","GO:0010346"
"8209","L-galactose-1-phosphate phosphatase activity","molecular_function","GO:0010347"
"8210","lithium:hydrogen antiporter activity","molecular_function","GO:0010348"
"8211","L-galactose dehydrogenase activity","molecular_function","GO:0010349"
"8212","cellular response to magnesium starvation","biological_process","GO:0010350"
"8213","lithium ion transport","biological_process","GO:0010351"
"8214","lithium ion export","biological_process","GO:0010352"
"8215","response to trehalose stimulus","biological_process","GO:0010353"
"8216","homogentisate prenyltransferase activity","molecular_function","GO:0010354"
"8217","homogentisate farnesyltransferase activity","molecular_function","GO:0010355"
"8218","homogentisate geranylgeranyltransferase activity","molecular_function","GO:0010356"
"8219","homogentisate solanesyltransferase activity","molecular_function","GO:0010357"
"8220","leaf shaping","biological_process","GO:0010358"
"8221","regulation of anion channel activity","biological_process","GO:0010359"
"8222","negative regulation of anion channel activity","biological_process","GO:0010360"
"8223","regulation of anion channel activity by blue light","biological_process","GO:0010361"
"8224","negative regulation of anion channel activity by blue light","biological_process","GO:0010362"
"8225","regulation of plant-type hypersensitive response","biological_process","GO:0010363"
"8226","regulation of ethylene biosynthetic process","biological_process","GO:0010364"
"8227","positive regulation of ethylene biosynthetic process","biological_process","GO:0010365"
"8228","negative regulation of ethylene biosynthetic process","biological_process","GO:0010366"
"8229","extracellular isoamylase complex","cellular_component","GO:0010367"
"8230","chloroplast isoamylase complex","cellular_component","GO:0010368"
"8231","chromocenter","cellular_component","GO:0010369"
"8232","perinucleolar chromocenter","cellular_component","GO:0010370"
"8233","regulation of gibberellin biosynthetic process","biological_process","GO:0010371"
"8234","positive regulation of gibberellin biosynthetic process","biological_process","GO:0010372"
"8235","negative regulation of gibberellin biosynthetic process","biological_process","GO:0010373"
"8236","stomatal complex development","biological_process","GO:0010374"
"8237","stomatal complex patterning","biological_process","GO:0010375"
"8238","stomatal complex formation","biological_process","GO:0010376"
"8239","guard cell fate commitment","biological_process","GO:0010377"
"8240","temperature compensation of the circadian clock","biological_process","GO:0010378"
"8241","phaseic acid biosynthetic process","biological_process","GO:0010379"
"8242","regulation of chlorophyll biosynthetic process","biological_process","GO:0010380"
"8243","attachment of peroxisome to chloroplast","biological_process","GO:0010381"
"8244","cellular cell wall macromolecule metabolic process","biological_process","GO:0010382"
"8245","cell wall polysaccharide metabolic process","biological_process","GO:0010383"
"8246","cell wall proteoglycan metabolic process","biological_process","GO:0010384"
"8247","double-stranded methylated DNA binding","molecular_function","GO:0010385"
"8248","lateral root primordium development","biological_process","GO:0010386"
"8249","signalosome assembly","biological_process","GO:0010387"
"8250","cullin deneddylation","biological_process","GO:0010388"
"8251","regulation of G2/M transition of mitotic cell cycle","biological_process","GO:0010389"
"8252","histone monoubiquitination","biological_process","GO:0010390"
"8253","glucomannan metabolic process","biological_process","GO:0010391"
"8254","galactoglucomannan metabolic process","biological_process","GO:0010392"
"8255","galacturonan metabolic process","biological_process","GO:0010393"
"8256","homogalacturonan metabolic process","biological_process","GO:0010394"
"8257","rhamnogalacturonan I metabolic process","biological_process","GO:0010395"
"8258","rhamnogalacturonan II metabolic process","biological_process","GO:0010396"
"8259","apiogalacturonan metabolic process","biological_process","GO:0010397"
"8260","xylogalacturonan metabolic process","biological_process","GO:0010398"
"8261","rhamnogalacturonan I backbone metabolic process","biological_process","GO:0010399"
"8262","rhamnogalacturonan I side chain metabolic process","biological_process","GO:0010400"
"8263","pectic galactan metabolic process","biological_process","GO:0010401"
"8264","pectic arabinan metabolic process","biological_process","GO:0010402"
"8265","pectic arabinogalactan I metabolic process","biological_process","GO:0010403"
"8266","cell wall hydroxyproline-rich glycoprotein metabolic process","biological_process","GO:0010404"
"8267","arabinogalactan protein metabolic process","biological_process","GO:0010405"
"8268","classical arabinogalactan protein metabolic process","biological_process","GO:0010406"
"8269","non-classical arabinogalactan protein metabolic process","biological_process","GO:0010407"
"8270","fasciclin-like arabinogalactan protein metabolic process","biological_process","GO:0010408"
"8271","extensin metabolic process","biological_process","GO:0010409"
"8272","hemicellulose metabolic process","biological_process","GO:0010410"
"8273","xyloglucan metabolic process","biological_process","GO:0010411"
"8274","mannan metabolic process","biological_process","GO:0010412"
"8275","glucuronoxylan metabolic process","biological_process","GO:0010413"
"8276","glucuronoarabinoxylan metabolic process","biological_process","GO:0010414"
"8277","unsubstituted mannan metabolic process","biological_process","GO:0010415"
"8278","arabinoxylan metabolic process","biological_process","GO:0010416"
"8279","glucuronoxylan biosynthetic process","biological_process","GO:0010417"
"8280","rhamnogalacturonan II backbone metabolic process","biological_process","GO:0010418"
"8281","rhamnogalacturonan II side chain metabolic process","biological_process","GO:0010419"
"8282","polyprenyldihydroxybenzoate methyltransferase activity","molecular_function","GO:0010420"
"8283","hydrogen peroxide-mediated programmed cell death","biological_process","GO:0010421"
"8284","regulation of brassinosteroid biosynthetic process","biological_process","GO:0010422"
"8285","negative regulation of brassinosteroid biosynthetic process","biological_process","GO:0010423"
"8286","DNA methylation on cytosine within a CG sequence","biological_process","GO:0010424"
"8287","DNA methylation on cytosine within a CNG sequence","biological_process","GO:0010425"
"8288","DNA methylation on cytosine within a CHH sequence","biological_process","GO:0010426"
"8289","abscisic acid binding","molecular_function","GO:0010427"
"8290","methyl-CpNpG binding","molecular_function","GO:0010428"
"8291","methyl-CpNpN binding","molecular_function","GO:0010429"
"8292","fatty acid omega-oxidation","biological_process","GO:0010430"
"8293","seed maturation","biological_process","GO:0010431"
"8294","bract development","biological_process","GO:0010432"
"8295","bract morphogenesis","biological_process","GO:0010433"
"8296","bract formation","biological_process","GO:0010434"
"8297","3-oxo-2-(2'-pentenyl)cyclopentane-1-octanoic acid (OPC-8:0) CoA ligase activity","molecular_function","GO:0010435"
"8298","carotenoid dioxygenase activity","molecular_function","GO:0010436"
"8299","9,10 (9', 10')-carotenoid-cleaving dioxygenase activity","molecular_function","GO:0010437"
"8300","cellular response to sulfur starvation","biological_process","GO:0010438"
"8301","regulation of glucosinolate biosynthetic process","biological_process","GO:0010439"
"8302","stomatal lineage progression","biological_process","GO:0010440"
"8303","guard cell development","biological_process","GO:0010441"
"8304","guard cell morphogenesis","biological_process","GO:0010442"
"8305","meristemoid mother cell division","biological_process","GO:0010443"
"8306","guard mother cell differentiation","biological_process","GO:0010444"
"8307","nuclear dicing body","cellular_component","GO:0010445"
"8308","response to alkalinity","biological_process","GO:0010446"
"8309","response to acidity","biological_process","GO:0010447"
"8310","vegetative meristem growth","biological_process","GO:0010448"
"8311","root meristem growth","biological_process","GO:0010449"
"8312","inflorescence meristem growth","biological_process","GO:0010450"
"8313","floral meristem growth","biological_process","GO:0010451"
"8314","histone H3-K36 methylation","biological_process","GO:0010452"
"8315","regulation of cell fate commitment","biological_process","GO:0010453"
"8316","negative regulation of cell fate commitment","biological_process","GO:0010454"
"8317","positive regulation of cell fate commitment","biological_process","GO:0010455"
"8318","cell proliferation in dorsal spinal cord","biological_process","GO:0010456"
"8319","centriole-centriole cohesion","biological_process","GO:0010457"
"8320","exit from mitosis","biological_process","GO:0010458"
"8321","negative regulation of heart rate","biological_process","GO:0010459"
"8322","positive regulation of heart rate","biological_process","GO:0010460"
"8323","light-activated channel activity","molecular_function","GO:0010461"
"8324","regulation of light-activated voltage-gated calcium channel activity","biological_process","GO:0010462"
"8325","mesenchymal cell proliferation","biological_process","GO:0010463"
"8326","regulation of mesenchymal cell proliferation","biological_process","GO:0010464"
"8327","nerve growth factor receptor activity","molecular_function","GO:0010465"
"8328","negative regulation of peptidase activity","biological_process","GO:0010466"
"8329","gene expression","biological_process","GO:0010467"
"8330","regulation of gene expression","biological_process","GO:0010468"
"8331","regulation of receptor activity","biological_process","GO:0010469"
"8332","regulation of gastrulation","biological_process","GO:0010470"
"8333","GDP-galactose:mannose-1-phosphate guanyltransferase activity","molecular_function","GO:0010471"
"8334","GDP-galactose:glucose-1-phosphate guanyltransferase activity","molecular_function","GO:0010472"
"8335","GDP-galactose:myoinositol-1-phosphate guanyltransferase activity","molecular_function","GO:0010473"
"8336","glucose-1-phosphate guanylyltransferase (GDP) activity","molecular_function","GO:0010474"
"8337","galactose-1-phosphate guanylyltransferase (GDP) activity","molecular_function","GO:0010475"
"8338","gibberellin mediated signaling pathway","biological_process","GO:0010476"
"8339","response to sulfur dioxide","biological_process","GO:0010477"
"8340","chlororespiration","biological_process","GO:0010478"
"8341","stele development","biological_process","GO:0010479"
"8342","microsporocyte differentiation","biological_process","GO:0010480"
"8343","epidermal cell division","biological_process","GO:0010481"
"8344","regulation of epidermal cell division","biological_process","GO:0010482"
"8345","pollen tube reception","biological_process","GO:0010483"
"8346","H3 histone acetyltransferase activity","molecular_function","GO:0010484"
"8347","H4 histone acetyltransferase activity","molecular_function","GO:0010485"
"8348","manganese:hydrogen antiporter activity","molecular_function","GO:0010486"
"8349","thermospermine synthase activity","molecular_function","GO:0010487"
"8350","UDP-galactose:N-glycan beta-1,3-galactosyltransferase activity","molecular_function","GO:0010488"
"8351","UDP-4-keto-6-deoxy-glucose-3,5-epimerase activity","molecular_function","GO:0010489"
"8352","UDP-4-keto-rhamnose-4-keto-reductase activity","molecular_function","GO:0010490"
"8353","UTP:arabinose-1-phosphate uridylyltransferase activity","molecular_function","GO:0010491"
"8354","maintenance of shoot apical meristem identity","biological_process","GO:0010492"
"8355","Lewis a epitope biosynthetic process","biological_process","GO:0010493"
"8356","stress granule","cellular_component","GO:0010494"
"8357","long-distance posttranscriptional gene silencing","biological_process","GO:0010495"
"8358","intercellular transport","biological_process","GO:0010496"
"8359","plasmodesmata-mediated intercellular transport","biological_process","GO:0010497"
"8360","proteasomal protein catabolic process","biological_process","GO:0010498"
"8361","proteasomal ubiquitin-independent protein catabolic process","biological_process","GO:0010499"
"8362","transmitting tissue development","biological_process","GO:0010500"
"8363","RNA secondary structure unwinding","biological_process","GO:0010501"
"8364","plastoglobuli","cellular_component","GO:0010502"
"8365","negative regulation of cell cycle arrest in response to nitrogen starvation","biological_process","GO:0010503"
"8366","regulation of cell cycle arrest in response to nitrogen starvation","biological_process","GO:0010504"
"8367","positive regulation of cell cycle arrest in response to nitrogen starvation","biological_process","GO:0010505"
"8368","regulation of autophagy","biological_process","GO:0010506"
"8369","negative regulation of autophagy","biological_process","GO:0010507"
"8370","positive regulation of autophagy","biological_process","GO:0010508"
"8371","polyamine homeostasis","biological_process","GO:0010509"
"8372","regulation of acetyl-CoA biosynthetic process from pyruvate","biological_process","GO:0010510"
"8373","regulation of phosphatidylinositol biosynthetic process","biological_process","GO:0010511"
"8374","negative regulation of phosphatidylinositol biosynthetic process","biological_process","GO:0010512"
"8375","positive regulation of phosphatidylinositol biosynthetic process","biological_process","GO:0010513"
"8376","induction of conjugation with cellular fusion","biological_process","GO:0010514"
"8377","negative regulation of induction of conjugation with cellular fusion","biological_process","GO:0010515"
"8378","negative regulation of cellular response to nitrogen starvation","biological_process","GO:0010516"
"8379","regulation of phospholipase activity","biological_process","GO:0010517"
"8380","positive regulation of phospholipase activity","biological_process","GO:0010518"
"8381","negative regulation of phospholipase activity","biological_process","GO:0010519"
"8382","regulation of reciprocal meiotic recombination","biological_process","GO:0010520"
"8383","telomerase inhibitor activity","molecular_function","GO:0010521"
"8384","regulation of calcium ion transport into cytosol","biological_process","GO:0010522"
"8385","negative regulation of calcium ion transport into cytosol","biological_process","GO:0010523"
"8386","positive regulation of calcium ion transport into cytosol","biological_process","GO:0010524"
"8387","regulation of transposition, RNA-mediated","biological_process","GO:0010525"
"8388","negative regulation of transposition, RNA-mediated","biological_process","GO:0010526"
"8389","positive regulation of transposition, RNA-mediated","biological_process","GO:0010527"
"8390","regulation of transposition","biological_process","GO:0010528"
"8391","negative regulation of transposition","biological_process","GO:0010529"
"8392","positive regulation of transposition","biological_process","GO:0010530"
"8393","activation of JAK1 kinase activity","biological_process","GO:0010531"
"8394","regulation of activation of JAK1 kinase activity","biological_process","GO:0010532"
"8395","regulation of activation of Janus kinase activity","biological_process","GO:0010533"
"8396","regulation of activation of JAK2 kinase activity","biological_process","GO:0010534"
"8397","positive regulation of activation of JAK2 kinase activity","biological_process","GO:0010535"
"8398","positive regulation of activation of Janus kinase activity","biological_process","GO:0010536"
"8399","positive regulation of activation of JAK1 kinase activity","biological_process","GO:0010537"
"8400","Hsp27 protein regulator activity","molecular_function","GO:0010538"
"8401","Hsp27 protein inhibitor activity","molecular_function","GO:0010539"
"8402","basipetal auxin transport","biological_process","GO:0010540"
"8403","acropetal auxin transport","biological_process","GO:0010541"
"8404","nitrate efflux transmembrane transporter activity","molecular_function","GO:0010542"
"8405","regulation of platelet activation","biological_process","GO:0010543"
"8406","negative regulation of platelet activation","biological_process","GO:0010544"
"8407","Hsp90 protein regulator activity","molecular_function","GO:0010545"
"8408","Hsp90 protein inhibitor activity","molecular_function","GO:0010546"
"8409","thylakoid membrane disassembly","biological_process","GO:0010547"
"8410","regulation of thylakoid membrane disassembly","biological_process","GO:0010548"
"8411","regulation of membrane disassembly","biological_process","GO:0010549"
"8412","regulation of PSII associated light-harvesting complex II catabolic process","biological_process","GO:0010550"
"8413","regulation of gene-specific transcription from RNA polymerase II promoter","biological_process","GO:0010551"
"8414","positive regulation of gene-specific transcription from RNA polymerase II promoter","biological_process","GO:0010552"
"8415","negative regulation of gene-specific transcription from RNA polymerase II promoter","biological_process","GO:0010553"
"8416","neurotransmitter secretory pathway","biological_process","GO:0010554"
"8417","response to mannitol stimulus","biological_process","GO:0010555"
"8418","regulation of macromolecule biosynthetic process","biological_process","GO:0010556"
"8419","positive regulation of macromolecule biosynthetic process","biological_process","GO:0010557"
"8420","negative regulation of macromolecule biosynthetic process","biological_process","GO:0010558"
"8421","regulation of glycoprotein biosynthetic process","biological_process","GO:0010559"
"8422","positive regulation of glycoprotein biosynthetic process","biological_process","GO:0010560"
"8423","negative regulation of glycoprotein biosynthetic process","biological_process","GO:0010561"
"8424","positive regulation of phosphorus metabolic process","biological_process","GO:0010562"
"8425","negative regulation of phosphorus metabolic process","biological_process","GO:0010563"
"8426","regulation of cell cycle process","biological_process","GO:0010564"
"8427","regulation of cellular ketone metabolic process","biological_process","GO:0010565"
"8428","regulation of ketone biosynthetic process","biological_process","GO:0010566"
"8429","regulation of ketone catabolic process","biological_process","GO:0010567"
"8430","regulation of budding cell apical bud growth","biological_process","GO:0010568"
"8431","regulation of double-strand break repair via homologous recombination","biological_process","GO:0010569"
"8432","regulation of filamentous growth","biological_process","GO:0010570"
"8433","positive regulation of DNA replication during S phase","biological_process","GO:0010571"
"8434","positive regulation of platelet activation","biological_process","GO:0010572"
"8435","vascular endothelial growth factor production","biological_process","GO:0010573"
"8436","regulation of vascular endothelial growth factor production","biological_process","GO:0010574"
"8437","positive regulation vascular endothelial growth factor production","biological_process","GO:0010575"
"8438","metalloenzyme regulator activity","molecular_function","GO:0010576"
"8439","metalloenzyme activator activity","molecular_function","GO:0010577"
"8440","regulation of adenylate cyclase activity involved in G-protein signaling pathway","biological_process","GO:0010578"
"8441","positive regulation of adenylate cyclase activity by G-protein signaling pathway","biological_process","GO:0010579"
"8442","regulation of starch biosynthetic process","biological_process","GO:0010581"
"8443","floral meristem determinacy","biological_process","GO:0010582"
"8444","response to cyclopentenone","biological_process","GO:0010583"
"8445","pollen exine formation","biological_process","GO:0010584"
"8446","glutamine secretion","biological_process","GO:0010585"
"8447","miRNA metabolic process","biological_process","GO:0010586"
"8448","miRNA catabolic process","biological_process","GO:0010587"
"8449","cotyledon vascular tissue pattern formation","biological_process","GO:0010588"
"8450","leaf proximal/distal pattern formation","biological_process","GO:0010589"
"8451","regulation of cell separation during cytokinesis","biological_process","GO:0010590"
"8452","regulation of lamellipodium assembly","biological_process","GO:0010591"
"8453","positive regulation of lamellipodium assembly","biological_process","GO:0010592"
"8454","negative regulation of lamellipodium assembly","biological_process","GO:0010593"
"8455","regulation of endothelial cell migration","biological_process","GO:0010594"
"8456","positive regulation of endothelial cell migration","biological_process","GO:0010595"
"8457","negative regulation of endothelial cell migration","biological_process","GO:0010596"
"8458","green leaf volatile biosynthetic process","biological_process","GO:0010597"
"8459","NAD(P)H dehydrogenase complex (plastoquinone)","cellular_component","GO:0010598"
"8460","production of lsiRNA involved in RNA interference","biological_process","GO:0010599"
"8461","regulation of auxin biosynthetic process","biological_process","GO:0010600"
"8462","positive regulation of auxin biosynthetic process","biological_process","GO:0010601"
"8463","regulation of 1-aminocyclopropane-1-carboxylate metabolic process","biological_process","GO:0010602"
"8464","regulation of cytoplasmic mRNA processing body assembly","biological_process","GO:0010603"
"8465","positive regulation of macromolecule metabolic process","biological_process","GO:0010604"
"8466","negative regulation of macromolecule metabolic process","biological_process","GO:0010605"
"8467","positive regulation of cytoplasmic mRNA processing body assembly","biological_process","GO:0010606"
"8468","negative regulation of cytoplasmic mRNA processing body assembly","biological_process","GO:0010607"
"8469","posttranscriptional regulation of gene expression","biological_process","GO:0010608"
"8470","posttranscriptional regulation of gene expression by mRNA localization","biological_process","GO:0010609"
"8471","regulation of mRNA stability involved in response to stress","biological_process","GO:0010610"
"8472","regulation of cardiac muscle hypertrophy","biological_process","GO:0010611"
"8473","regulation of cardiac muscle adaptation","biological_process","GO:0010612"
"8474","positive regulation of cardiac muscle hypertrophy","biological_process","GO:0010613"
"8475","negative regulation of cardiac muscle hypertrophy","biological_process","GO:0010614"
"8476","positive regulation of cardiac muscle adaptation","biological_process","GO:0010615"
"8477","negative regulation of cardiac muscle adaptation","biological_process","GO:0010616"
"8478","circadian regulation of calcium ion oscillation","biological_process","GO:0010617"
"8479","aerenchyma formation","biological_process","GO:0010618"
"8480","activation of adenylate cyclase activity by glucose-triggered G-protein signaling pathway","biological_process","GO:0010619"
"8481","negative regulation of transcription by transcription factor catabolism","biological_process","GO:0010620"
"8482","negative regulation of transcription by transcription factor localization","biological_process","GO:0010621"
"8483","specification of ovule identity","biological_process","GO:0010622"
"8484","developmental programmed cell death","biological_process","GO:0010623"
"8485","regulation of Schwann cell proliferation","biological_process","GO:0010624"
"8486","positive regulation of Schwann cell proliferation","biological_process","GO:0010625"
"8487","negative regulation of Schwann cell proliferation","biological_process","GO:0010626"
"8488","regulation of protein kinase cascade","biological_process","GO:0010627"
"8489","positive regulation of gene expression","biological_process","GO:0010628"
"8490","negative regulation of gene expression","biological_process","GO:0010629"
"8491","regulation of transcription, start site selection","biological_process","GO:0010630"
"8492","epithelial cell migration","biological_process","GO:0010631"
"8493","regulation of epithelial cell migration","biological_process","GO:0010632"
"8494","negative regulation of epithelial cell migration","biological_process","GO:0010633"
"8495","positive regulation of epithelial cell migration","biological_process","GO:0010634"
"8496","regulation of mitochondrial fusion","biological_process","GO:0010635"
"8497","positive regulation of mitochondrial fusion","biological_process","GO:0010636"
"8498","negative regulation of mitochondrial fusion","biological_process","GO:0010637"
"8499","positive regulation of organelle organization","biological_process","GO:0010638"
"8500","negative regulation of organelle organization","biological_process","GO:0010639"
"8501","regulation of platelet-derived growth factor receptor signaling pathway","biological_process","GO:0010640"
"8502","positive regulation of platelet-derived growth factor receptor signaling pathway","biological_process","GO:0010641"
"8503","negative regulation of platelet-derived growth factor receptor signaling pathway","biological_process","GO:0010642"
"8504","cell communication by chemical coupling","biological_process","GO:0010643"
"8505","cell communication by electrical coupling","biological_process","GO:0010644"
"8506","regulation of cell communication by chemical coupling","biological_process","GO:0010645"
"8507","regulation of cell communication","biological_process","GO:0010646"
"8508","positive regulation of cell communication","biological_process","GO:0010647"
"8509","negative regulation of cell communication","biological_process","GO:0010648"
"8510","regulation of cell communication by electrical coupling","biological_process","GO:0010649"
"8511","positive regulation of cell communication by electrical coupling","biological_process","GO:0010650"
"8512","negative regulation of cell communication by electrical coupling","biological_process","GO:0010651"
"8513","positive regulation of cell communication by chemical coupling","biological_process","GO:0010652"
"8514","negative regulation of cell communication by chemical coupling","biological_process","GO:0010653"
